volumn,transfer01,shift,kilometer,People,MRTpax
1323,0,55,527387,5169160,1694601
1215,0,52,494143,5169749,2244583
1395,0,54,517742,5169560,1881699
1348,0,54,511933,5169006,2025389
1364,0,54,514484,5169405,1857045
1329,0,54,516200,5169687,1999824
1279,0,54,512484,5166938,1899873
1247,0,53,504484,5164887,1843167
1321,0,53,509767,5163824,2076539
