日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/06/01,37936214,11205227094,294.0,296.5,293.5,295.5,+3.50,15502
109/06/02,26663587,7908476089,296.0,297.5,296.0,296.5,+1.00,9743
109/06/03,67894337,20354971677,300.0,301.0,298.0,301.0,+4.50,33062
109/06/04,47225322,14414983532,305.0,306.0,304.0,306.0,+5.00,24482
109/06/05,44077262,13655618646,308.5,312.0,308.0,311.5,+5.50,24096
109/06/08,52042921,16500836851,316.0,319.0,315.0,318.0,+6.50,28581
109/06/09,37068082,11746874522,316.5,319.0,314.0,319.0,+1.00,19981
109/06/10,42207259,13566733306,319.0,324.0,318.0,322.5,+3.50,22670
109/06/11,50612255,16340456218,325.5,327.0,318.5,320.5,-2.00,27061
109/06/12,46970918,14811252573,313.0,317.5,312.5,316.0,-4.50,25263
109/06/15,51032404,15955585136,316.0,317.5,308.5,309.5,-6.50,29255
109/06/16,40725216,12823172756,317.0,317.0,314.0,315.0,+5.50,19377
109/06/17,34692968,10922017056,316.5,317.0,313.5,315.0,0.00,16218
109/06/18,35443474,11123108346,314.5,315.0,313.0,314.5,X0.00,11897
109/06/19,48130280,15102300186,314.0,314.5,312.0,314.5,0.00,12915
109/06/22,37374616,11722688924,314.5,316.5,312.0,312.0,-2.50,18836
109/06/23,41300084,12981121544,316.0,316.5,312.5,315.0,+3.00,15959
109/06/24,55464024,17641164202,319.0,320.0,316.0,317.5,+2.50,27086
109/06/29,56672892,17695228688,314.0,315.0,310.0,312.0,-5.50,30558
109/06/30,49241860,15386428040,313.5,314.0,311.0,313.0,+1.00,16165
