49484279,3630339605,72.8,-2.7,25954
40168974,2899786822,73.3,0.5,19447
26458601,1935659844,72.9,-0.4,12876
19132614,1401390427,73.1,0.2,8520
18829546,1386961208,73.7,0.6,9212
18041979,1319078341,72.9,-0.8,8642
34110030,2497656890,72.6,-0.3,13839
29341797,2102556384,71.6,-1,14450
33475801,2407954491,72,0.4,14550
19816447,1437460797,72.4,0.4,9431
18777661,1361574436,72.4,0,8278
27098920,1989126254,73.5,1.1,12750
23080538,1702786612,73.9,0.4,9530
16397789,1203893184,73.3,-0.6,8009
29641247,2131214083,72,-1.3,15334
37138289,2681293432,72.2,0.2,9144
14696633,1061042978,72.4,0.2,7462
20188936,1452837808,71.9,-0.5,9559
39791593,2926659371,74.2,2.3,16463
19418490,1437551600,74,-0.2,9706
14880467,1099921236,73.6,-0.4,6761
31103326,2302854103,74.3,0.7,9126
26853451,2009112468,74.9,0.6,11720
29362446,2213894500,75,0.1,14340
20213537,1515871410,74.7,-0.3,9867
24330390,1802563745,74.1,-0.6,11187
35738526,2665190390,74.5,0.4,14229
61561226,4648457642,76,1.5,26748
42605700,3226860951,76,0,15028
43926799,3284313874,74.6,-1.4,19504
33122317,2466647011,74.4,-0.2,13550
31821479,2354960866,73.5,-0.9,13983
33927500,2521042744,74.5,1,8653
10657229,794333608,74.7,0.2,5397
19777743,1481741359,74.9,0.2,7930
18380995,1369148183,74.8,-0.1,7481
22665993,1683566362,74,-0.8,8846
25514894,1877490240,73.2,-0.8,11217
47479934,3442928053,72.6,-0.6,20014
26526996,1918576398,72.3,-0.3,12200
28106086,2019549226,72,-0.3,13528
18814662,1360137603,72.7,0.7,9549
25366095,1866993860,73.4,0.7,11706
28493260,2105351412,74,0.6,11091
18869984,1382827132,72.9,-1.1,7885
48248401,3583251274,74.5,1.6,15732
39991555,2995659383,74.7,0.2,12889
35414100,2656399981,75,0.3,12317
81667038,6223362226,77.2,2.2,32370
79307262,6135246690,76.9,-0.3,22232
32659971,2517240178,77.6,0.7,12693
84257950,6668430797,79.5,1.9,34399
89180610,7144162167,80.5,1,33358
40227260,3240812274,80.5,0,16658
35866261,2871800127,80.2,-0.3,14070
24589303,1976884140,80.1,-0.1,11179
43338927,3501791877,80.8,0.7,18579
31199154,2503835220,80.2,-0.6,12486
39615853,3205652611,80.6,0.4,15447
126495985,10516290118,84.8,4.2,54653
157046158,13788215938,89,4.2,69524
114554576,10282369664,90,1,49127
102692823,9247509770,90.4,0.4,43449
91907245,8308738401,90.8,0.4,36793
107939604,9898925887,90.9,0.1,48100
113464283,10036725149,87.9,-3,47982
87919854,7892657442,91,3.1,37303
53336137,4788176972,89.7,-1.3,23412
89212854,8050458022,89.3,-0.4,30500
43552570,3928041685,90.1,0.8,18749
35921688,3244631720,90.5,0.4,14611
109575561,10092721829,92.8,2.3,47352
44527871,4089310578,91.9,-0.9,20426
52752786,4825030164,92.5,0.6,20606
30090529,2765280631,91.4,-1.1,15802
56144076,5046637379,89.6,-1.8,24137
74419119,6692787107,89.9,0.3,14304
21007877,1895290466,90.6,0.7,10282
19363801,1748262807,89.8,-0.8,9626
37756546,3364546289,88.5,-1.3,16445
31236074,2746751820,88.6,0.1,14896
