編號,相機序號,進站時間,出站時間,不良品
1,N2201001A0005,2022/11/07 15:59:01,2022/11/07 16:01:20,AWB作業延時
2,N2201001A0009,2022/11/07 16:22:31,2022/11/07 16:24:20,Hi-pot NG
