出發地,目的地,路線信息,酒店信息
杭州,麗江,"自由行
昆明+大理+麗江 1人起訂 Vip定制純玩昆明直飛麗江 石林+大理-瀘沽湖8天親子游VK8
多商圈玉龍雪山特色客棧印象麗江
8天7晚|天天出發|中國國際航空|多酒店可選
8280起/人","4.7分
豪華型"
杭州,麗江,"自由行
艷遇麗江-直飛麗江4天3晚自由行 安排品質酒店\特色客棧-免費提供接送機服務
大研古城與大水車相鄰特色客棧
4天3晚|端午|直飛|格林豪泰酒店麗江市古城口大水車店
5.0分 | 已售22人
2164起/人","4.0分
經濟型"
杭州,麗江,"自由行
麗江+大理 云南定制私家團昆明+大理+麗江5天4晚畢業游，純玩的價格享VIP待遇V5
多商圈, 含接送機, 門票
5天4晚|天天出發|直飛|多酒店可選
4180起/人","4.8分
高檔型"
杭州,麗江,"自由行
昆明+大理+麗江+西雙版納 暑期特惠 四飛機票+豪華住宿 昆明石林大理麗江西雙版納8天純玩畢業游ZYX8
豪華型多商圈印象麗江
8天7晚|天天出發|中國國際航空|多酒店可選
7580起/人","4.7分
豪華型"
杭州,麗江,"自由行
昆明+大理+麗江+香格里拉 <飛機往返昆明> 麗江+大理+香格里拉5天自由行+管家式服務（內附游玩攻略）
多商圈特色客棧
5天4晚|天天出發|直飛|多酒店可選
5.0分 | 已售23人
2580起/人","4.9分
其他"
杭州,麗江,"自由行
麗江+大理 云南蜜月定制游 麗江+大理+瀘沽湖6天5晚，贈送鮮花蜜月房+海景房MDLL6
多商圈游雙古城
6天5晚|端午|直飛|多酒店可選
6380起/人","4.8分
豪華型"
杭州,麗江,"自由行
機 酒純玩享4晚麗江納西客棧贈麗水金沙 1天免費用車+玫瑰莊園套票
大研古城在木府附近特色客棧
5天4晚|端午|直飛|麗江溪語茗苑客客棧
5.0分 | 已售39人
2250起/人團","4.9分
舒適型"
杭州,麗江,"自由行
麗江+大理 清涼一夏嗨云南 直飛麗江全自由行 尋夢麗江杭州—麗江 大理6+N天自由行
大研古城海邊客棧特色客棧
6天5晚|端午|直飛|麗江心怡酒店
5.0分 | 已售23人
2800起/人","4.3分
高檔型"
杭州,麗江,"自由行
昆明+西雙版納+麗江 VIP私人定制環飛：私家團：昆明-西雙版納萬達主題樂園-麗江冰川公園7日游！
豪華型新城印象麗江
7天6晚|天天出發|飛機|麗江官房大酒店旗店區
5.0分 | 已售26人
6080起/人專享紅包團","3.9分
豪華型"
杭州,麗江,"自由行
麗江+大理 云南旅游新播報，0購物，無限制，贈480自費，大理麗江 可增加香格里拉瀘沽湖
下關中心在大理西南醫院附近
5天4晚|天天出發|直飛|大理金達酒店
2380起/人","4.1分
其他"
杭州,麗江,"自由行
<雙飛往返麗江>麗江一地+機場接送 5天自由行 管家式服務（內附完整攻略）
大研古城特色客棧
5天4晚|端午|中國國際航空直飛|麗江古城麗景逍遙居度假庭院
1866起/人","4.9分
舒適型"
杭州,麗江,"自由行
麗江+大理 DIY自由定制/特色客棧+當地管家杭州-大理麗江瀘沽湖8+N天全自由行
大研古城, 含接送機
8天7晚|端午|直飛|麗江沐云花間人文精品客棧
5.0分 | 已售22人
3500起/人","3.8分
高檔型"
杭州,麗江,"自由行
麗江+大理 清涼一夏 VIP私家定制：家庭親子 獨立用車杭州雙飛昆明麗江大理7日游
雙廊, 含接送機
7天6晚|端午|中國國際航空直飛|大理雙廊木蓮花洱海度假客棧
5.0分 | 已售29人
4720起/人","4.7分
舒適型"
杭州,麗江,"自由行
昆明+大理+麗江+香格里拉 飛機往返昆明8天7晚 麗江+大理+香格里拉+管家服務+行程定制（附游玩攻略）
主題樂園多商圈特色客棧
8天7晚|端午|多機票可選|多酒店可選
5.0分 | 已售24人
2780起/人","4.9分
其他"
杭州,麗江,"自由行
昆明+大理+麗江+西雙版納 昆明大理麗江西雙版納9日私家團 贈洱海旅拍 住四星酒店或客棧+大理海景房L9
多商圈玉龍雪山游雙古城印象麗江
9天8晚|天天出發|直飛|多酒店可選
8580起/人","4.2分
高檔型"
杭州,麗江,"自由行
清涼一夏 直飛麗江全自由行 彼云之南，尋夢麗江杭州—麗江4+N天自由行
大研古城特色客棧
4天3晚|天天出發|直飛|麗江心怡酒店
5.0分 | 已售24人
2700起/人","4.3分
高檔型"
杭州,麗江,"自由行
麗江+大理 全自由行杭州—昆明 麗江 大理6+N天自由行 旅行就要狠自由
大研古城特色客棧
6天5晚|端午|中國國際航空直飛|麗江心怡酒店
4.9分 | 已售30人
3000起/人團","4.3分
高檔型"
杭州,麗江,"機酒自由行
麗江+大理 畢業季行色雙廊拉市海騎行 玉龍雪山 麗江 大理小資雙飛5日游接送機服務
多商圈海邊客棧
5天4晚|天天出發|直飛|多酒店可選
3180起/人","4.7分
其他"
