Date,Open,High,Low,Close,Adj Close,Volume
2019-09-02,258.000000,258.000000,256.000000,257.500000,255.571167,14614854
2019-09-03,256.500000,258.000000,253.000000,254.000000,252.097382,25762495
2019-09-04,254.000000,258.000000,254.000000,257.500000,255.571167,22540733
2019-09-05,263.000000,263.000000,260.500000,263.000000,261.029968,48791728
2019-09-06,265.000000,265.000000,263.000000,263.500000,261.526215,25408515
2019-09-10,263.500000,264.000000,260.500000,261.500000,259.541199,29308866
2019-09-11,264.000000,264.500000,260.500000,263.000000,261.029968,36196015
2019-09-12,265.000000,265.000000,261.500000,262.500000,260.533722,26017293
2019-09-16,262.000000,265.500000,261.500000,265.500000,263.511230,32573966
2019-09-17,266.500000,266.500000,264.500000,265.000000,263.014984,27600844
2019-09-18,267.000000,269.500000,266.500000,267.000000,265.000000,47684759
2019-09-19,268.000000,268.000000,264.000000,265.000000,265.000000,25233567
2019-09-20,266.000000,266.500000,264.000000,264.000000,264.000000,43868865
2019-09-23,264.000000,264.000000,263.000000,264.000000,264.000000,13093208
2019-09-24,263.500000,265.500000,262.000000,265.000000,265.000000,24244943
2019-09-25,262.500000,266.000000,262.000000,266.000000,266.000000,21003163
2019-09-26,269.000000,269.500000,266.500000,268.000000,268.000000,29940103
2019-09-27,271.500000,272.500000,271.000000,272.000000,272.000000,41235817

