Date,Open,High,Low,Close,Volume,Adj Close
8/8/2016,18541.89063,18569.31055,18502.0293,18529.28906,71810000,18529.28906
8/5/2016,18402.80078,18543.5293,18402.80078,18543.5293,92420000,18543.5293
8/4/2016,18351.42969,18397.86914,18325.16992,18352.05078,64500000,18352.05078
8/3/2016,18313.08008,18355,18283.23047,18355,78550000,18355
8/2/2016,18401.15039,18403.65039,18247.78906,18313.76953,89680000,18313.76953
8/1/2016,18434.5,18467.0293,18355.75,18404.50977,83470000,18404.50977
7/29/2016,18442.51953,18466.55078,18371.11914,18432.24023,111550000,18432.24023
7/28/2016,18461.00977,18483.25977,18368.82031,18456.34961,85750000,18456.34961
7/27/2016,18473.26953,18542.39063,18430.93945,18472.16992,111370000,18472.16992
7/26/2016,18497.36914,18522.4707,18387.2207,18473.75,85370000,18473.75
7/25/2016,18554.49023,18555.68945,18452.61914,18493.06055,76810000,18493.06055
7/22/2016,18524.15039,18571.30078,18491.58984,18570.84961,87710000,18570.84961
7/21/2016,18589.96094,18590.43945,18469.66992,18517.23047,86800000,18517.23047
7/20/2016,18582.69922,18622.00977,18555.65039,18595.0293,93230000,18595.0293
7/19/2016,18503.11914,18562.5293,18495.10938,18559.00977,85840000,18559.00977
7/18/2016,18521.55078,18556.13086,18489.83984,18533.05078,75540000,18533.05078
7/15/2016,18508.88086,18557.42969,18471.61914,18516.55078,123690000,18516.55078
7/14/2016,18414.30078,18537.57031,18414.30078,18506.41016,87050000,18506.41016
7/13/2016,18356.7793,18390.16016,18315.75977,18372.11914,80920000,18372.11914
7/12/2016,18259.11914,18371.94922,18259.11914,18347.66992,90170000,18347.66992
7/11/2016,18161.5293,18283.90039,18161.5293,18226.92969,80880000,18226.92969
7/8/2016,17971.2207,18166.76953,17971.2207,18146.74023,93460000,18146.74023
7/7/2016,17924.24023,17984.94922,17816.65039,17895.88086,81570000,17895.88086
7/6/2016,17807.4707,17926.91016,17713.44922,17918.61914,93000000,17918.61914
7/5/2016,17904.44922,17904.44922,17785.2793,17840.61914,103650000,17840.61914
7/1/2016,17924.24023,18002.38086,17916.91016,17949.36914,82160000,17949.36914
6/30/2016,17712.75977,17930.60938,17711.80078,17929.99023,133030000,17929.99023
6/29/2016,17456.01953,17704.50977,17456.01953,17694.67969,106380000,17694.67969
6/28/2016,17190.50977,17409.7207,17190.50977,17409.7207,112190000,17409.7207
6/27/2016,17355.21094,17355.21094,17063.08008,17140.24023,138740000,17140.24023
6/24/2016,17946.63086,17946.63086,17356.33984,17400.75,239000000,17400.75
6/23/2016,17844.10938,18011.07031,17844.10938,18011.07031,98070000,18011.07031
