車種車次 (始發站 → 終點站),出發時間,抵達時間,行駛時間,經由,詳細資訊,全票,孩童票,訂票
區間1251(基隆→新竹),19:49,20:36,47 分,-,詳細,$ 57,$ 29,
區間2273(基隆→彰化),20:05,20:59,54 分,山線,詳細,$ 57,$ 29,
區間1257(基隆→三義),20:30,21:24,54 分,山線,詳細,$ 57,$ 29,
太魯閣285(花蓮→員林),20:35,21:07,32 分,海線,詳細,$ 89,$ 45,訂票
區間1261(基隆→中壢),20:45,21:33,48 分,-,詳細,$ 57,$ 29,
自強155(七堵→彰化),21:00,21:39,39 分,山線,詳細,$ 89,$ 45,訂票
區間1263(基隆→新竹),21:04,21:51,47 分,-,詳細,$ 57,$ 29,
區間4221(蘇澳→北湖),21:10,21:58,48 分,-,詳細,$ 57,$ 29,
區間1271(基隆→北湖),21:29,22:16,47 分,-,詳細,$ 57,$ 29,
區間1267(基隆→苗栗),21:41,22:28,47 分,山線,詳細,$ 57,$ 29,
區間4225(福隆→北湖),21:53,22:40,47 分,-,詳細,$ 57,$ 29,
區間1273(基隆→新竹),22:12,22:59,47 分,-,詳細,$ 57,$ 29,
區間4235(宜蘭→北湖),22:25,23:12,47 分,-,詳細,$ 57,$ 29,
區間1281(基隆→新竹),22:40,23:27,47 分,-,詳細,$ 57,$ 29,
區間1283(基隆→楊梅),23:06,23:53,47 分,-,詳細,$ 57,$ 29,
區間1287(基隆→中壢),23:30,00:17,47 分,-,詳細,$ 57,$ 29,
