商品編號,商品名稱,價格
31,【NBA】NIKE 騎士隊 DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),750
32,【NBA】NIKE 騎士隊 球迷版 球褲 Swingman SW 籃球短褲 短褲 運動褲 打球 健身(NBA球褲),990
33,【NBA】NIKE 騎士隊 DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),690
34,【NBA】NIKE 湖人隊 Therma Flex 熱身連帽外套 運動外套 連帽外套 熱身外套 跑步外套 健身(NBA外套),"2,280"
35,【NBA】NIKE 雷霆隊 WESTBROOK  DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 健身 慢跑(NBA上衣),590
36,【NIKE 耐吉】AS NBA M NK DRY TEE MVP2 AOP K 男款 布魯克林 休閒 運動 短袖上衣 白 CT3968100,653
37,【NBA】NIKE Therma Flex Hoodie LA Clippers快艇隊 連帽外套(NBA外套),"2,290"
38,【NBA】NIKE 騎士隊 Dry Showtime Hoodie 長袖連帽外套(NBA外套),"1,680"
39,【NBA】NIKE 塞爾提克 Irving DRY 快速排汗 短袖上衣 厄文 短袖T恤 運動衣 運動服 健身 慢跑(NBA上衣),780
40,【NBA】NIKE 騎士隊 DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),590
