商品編號,商品名稱,價格
101,【NIKE 耐吉】NBA 短袖T恤 公牛隊(AQ6321657),590
102,【NIKE 耐吉】NBA 男 DRI？FIT SHOWTIME運動長褲 火箭隊(941795032),"1,375"
103,【NIKE 耐吉】Nike Air Force 1 NBA 休閒鞋  白黑 絲綢 拼接 低筒 男鞋(BQ4420-100),"3,980"
104,【NIKE 耐吉】AS NBA M NK DRY TEE MVP2 PLR G 男款 字母哥 明星 運動 休息 短袖上衣 白 CT4015100,653
105,【NIKE】JORDAN JUMPMAN 單色頭帶-飛人喬登 籃球 NBA 一條入 紅黑(JKN00605OS),410
106,【NIKE 耐吉】NBA DRI-FIT 單色頭帶-客場-髮帶 慢跑 一只入 籃球 飛人喬丹 白紅藍(NKN02100OS),465
107,【NIKE 耐吉】NBA DRI-FIT 單色頭帶(黃),270
108,【NIKE 耐吉】NBA DRI-FIT 護腕套-酒紅(騎士),303
109,【NIKE 耐吉】NBA DRI-FIT 單色頭帶(深藍),270
110,【NIKE 耐吉】NBA DRI-FIT 單色頭帶(小牛),270
