商品編號,商品名稱,價格
1,【NBA】NIKE 青年版 塞爾提克 Kyrie Irving 厄文 城市版球衣 青年球衣 運動背心 籃球球衣(NBA球衣),"1,190"
2,【NBA】NIKE 籃網隊 Jeremy Lin DRY TEE 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),690
3,【NBA】NIKE 青年版 公鹿隊 字母哥 Antetokounmpo 運動短T 迅速排汗 健身 基本款(Youth),590
4,【NBA】NIKE 波士頓 塞爾提克隊 Kyrie Irving 球衣 厄文 運動背心 籃球球衣 球迷版(864403-103),"2,680"
5,【NBA】NIKE 休士頓 火箭隊 Chris Paul 球衣 CP3 運動背心 籃球球衣(NBA球衣),"1,580"
6,【NBA】NIKE 青年版 球衣 火箭隊 PAUL CP3 保羅船長 籃球球衣 籃球背心 球迷版(Youth),"1,071"
7,【NBA】NIKE Westbrook 雷霆隊 DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),990
8,【NBA】NIKE 青年版 勇士隊 短袖上衣 DRI-FIT 快速排汗 短袖T恤 健身 慢跑(WZ2B711D1-WARRIORS),612
9,【NBA】NIKE 休士頓 火箭隊 James Harden 球衣 大鬍子 哈登 運動背心 籃球球衣 球迷版(NBA球衣),"1,390"
10,【NBA】NIKE U NK ELT CREW 籃球運動襪 blue(NBA籃球襪),349
