商品編號,商品名稱,價格
21,【NBA】NBA NIKE 青年版 勇士隊 CURRY 柯瑞 球衣  SWINGMAN 球迷版(WZ2B7BZ2P-WARRIORS),"1,190"
22,【NBA】NIKE 火箭隊 PAUL DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),780
23,【NBA】NIKE 騎士隊 DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),680
24,【NBA】NIKE 火箭隊 DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),750
25,【NBA】NIKE 勇士隊 Just Do It  DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),750
26,【NBA】NIKE 勇士隊 CURRY  DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),750
27,【NBA】NIKE 勇士隊 運動長褲 彈力材質 吸濕排汗 休閒長褲 彈力棉褲 運動褲 慢跑 籃球 健身(NBA長褲),"1,242"
28,【NBA】NIKE 騎士隊 DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),675
29,【NBA】NIKE 勇士隊 球迷版 球褲 Swingman SW 籃球短褲 短褲 運動褲 打球 健身(NBA球褲),990
30,【NBA】NIKE Irving 波士頓 DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),685
