商品編號,商品名稱,價格
131,【NIKE 耐吉】NBA Elite Sleeve 運動 健身 籃球  臂套 白 N000314510,416
132,【NIKE 耐吉】NBA 男款 長袖 連帽 休閒 大LOGO 暴龍 刷毛 黑 CI4538010,869
133,【NIKE 耐吉】臂套 NBA Elite Sleeve Lakers 湖人 運動 籃球 穩定支撐 透氣 單支入 黃 紫(N1000538-747),549
134,【NIKE 耐吉】NBA 城市版 短袖T恤 火箭隊 Chris Paul(AO0891101),675
135,【NIKE 耐吉】NBA Mantra 短袖T恤 湖人隊(AT0813100),703
136,【NIKE 耐吉】NBA Therma Flex Showtime 運動長褲 黃蜂隊(AA5212010),"1,580"
137,【NIKE 耐吉】NBA City Edition TRACKSUIT運動長褲 籃網隊(CN5603010),"1,482"
138,【NIKE 耐吉】NBA City Edition TRACKSUIT運動長褲 湖人隊(CN5613010),"1,482"
139,【NIKE 耐吉】NBA DRI-FIT 單色頭帶 共兩款,392
140,【NIKE 耐吉】AS LAL M NK SHORT DNA ST 男款 運動 健身 籃球 NBA 湖人 球褲 紫 AV3537504,869
