商品編號,商品名稱,價格
71,【NBA】NIKE 籃網隊 DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),750
72,【NBA】NIKE Elite Quick Crew Socks 籃球運動襪 dark red(NBA籃球襪),490
73,【NBA】NIKE 馬刺隊 Leonard 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),750
74,【NBA】NIKE 青年版 塞爾提克 Kyrie Irving 青少年球衣 厄文 青年球衣 運動背心 籃球球衣 球迷版(NBA球衣),"1,190"
75,【NBA】NIKE 青年版 公鹿隊 字母哥 Antetokounmpo 青少年球衣 青年球衣 運動背心 籃球球衣(NBA球衣),"1,190"
76,【NBA】NIKE 尼克隊 Therma Flex 熱身連帽外套 運動外套 連帽外套 熱身外套 跑步外套 健身(NBA外套),"2,061"
77,【NBA】NIKE 騎士隊 Therma Flex 熱身連帽外套 運動外套 連帽外套 熱身外套 跑步外套 健身(NBA外套),"2,290"
78,【NBA】NIKE 火箭隊 Therma Flex 熱身連帽外套 運動外套 連帽外套 熱身外套 跑步外套 健身(NBA外套),"2,290"
79,【NBA】NIKE 馬刺隊 可愛 KAWHI  DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 健身 慢跑(NBA上衣),680
80,【NBA】NIKE 火箭隊 DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),780
