商品編號,商品名稱,價格
11,【NBA】NIKE 騎士隊 DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),675
12,【NBA】NIKE U NK ELT CREW 籃球運動襪 red(NBA籃球襪),349
13,【NBA】NIKE 青年版 騎士隊 LeBRON JAMES 詹姆斯 球衣  SWINGMAN 球迷版(WZ2B7BZ2P-CAVALIERS),"1,180"
14,【NBA】NIKE 騎士隊 DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),750
15,【NBA】NIKE 火箭隊 DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),750
16,【NBA】NIKE LeBrom James 騎士隊 DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),750
17,【NBA】NIKE 騎士隊 DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),750
18,【NBA】NIKE 勇士隊  DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),750
19,【NBA】NIKE 青年款 連帽上衣 勇士隊 Thompson K湯 帽T 帽夾 Hoodie 冬季必備(Youth),765
20,【NBA】NIKE 雷霆隊 WESTBROOK 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),750
