商品編號,商品名稱,價格
121,【NIKE 耐吉】臂套 NBA Elite Sleeves 男女款 NBA 籃球 菁英 透氣 運動護具 一雙入 黑 白(NKS09-010),849
122,【NIKE 耐吉】籃球臂套 NBA系列 Dri-Fit 運動 男女款 達拉斯小牛 袖套 透氣 快乾 訓練 藍 白(NKS09-457),749
123,【NIKE 耐吉】籃球臂套 NBA Dri-Fit 運動 男女款 金州勇士 袖套 透氣 快乾 訓練 黃 白(NKS09-718),749
124,【NIKE 耐吉】臂套 NBA Elite Sleeves 男女款 菁英系列 一雙入 籃球 運動 單車 紅 白(NKS09-610),699
125,【NIKE 耐吉】PRO HYPERWARM 保暖臂套(藍 NBA11482LX),798
126,【NIKE 耐吉】臂套 NBA Elite Sleeves 男款 籃球 路跑 單車 吸濕排汗 遮陽 兩隻入 綠 白(NKS09-347),749
127,【NIKE 耐吉】休閒鞋 Air Force 1 High 07 男鞋 經典款 球鞋 色塊拼接 NBA 穿搭 白 綠(BQ4591-100),"2,831"
128,【NIKE 耐吉】JORDAN  NBA 全明星 籃球長襪 運動襪 長襪 白襪(SX6293-100),590
129,【NIKE 耐吉】NBA Jersey Simmons 球衣 男裝 費城七六人 狀元 流行穿搭 白 紅(AV4509-102),"2,580"
130,【NIKE 耐吉】PRO HYPERWARM 保暖臂套 藍 NBA11482,"1,015"
