商品編號,商品名稱,價格
141,【NIKE 耐吉】NBA 護腕 湖人  運動 健身 路跑 吸汗 黃紫 N1000536747OS,446
142,【NIKE 耐吉】球衣 Kyrie Swingman NBA 男款 Kyrie 厄文 籃網隊 11號 籃球 白 彩(AV4622-102),"2,499"
143,【NIKE 耐吉】NBA BALLER 手環 湖人 運動 湖人  黃紫 N1000539760,810
144,【NIKE 耐吉】T恤 Brooklyn Nets NBA T 男款 Dri-FIT 吸濕排汗 快乾 KD 圓領 黑白(BQ1515-016),"1,449"
145,【NIKE 耐吉】T恤 Raptors NBA T-Shirt 男款 多倫多暴龍 圓領 棉質 舒適 基本版型 紫 黑(CJ5670-547),"1,349"
146,【NIKE 耐吉】AS NBA M NK DRY TEE MVP2 PLR K 男款 杜蘭特 明星 運動 休息 短袖上衣 白 CT3998100,653
147,【NIKE 耐吉】AS NBA M NK DRY TEE MVP2 PLR R 男款 羅素 明星 運動 休息 短袖上衣 白 CT4007100,653
148,【NIKE 耐吉】NBA DRI-FIT 護腕套-客場-腕帶 一雙入 路跑 籃球 飛人喬丹 白紅藍(NKN03100OS),515
149,【NIKE 耐吉】AS NBA M NK DRY TEE MVP2 AOP L 男款 洛杉磯湖人隊 休閒 運動 短袖上衣 白 CT3972100,653
150,【NIKE 耐吉】AS NBA M NK DRY TEE MVP2 AOP L 男 短袖上衣 白(CT3972100),807
