商品編號,商品名稱,價格
111,【NIKE 耐吉】NBA DRI-FIT 護腕套-綠(塞爾提克),303
112,【NIKE 耐吉】NBA DRI-FIT 護腕套-深藍(塞爾提克),303
113,【NIKE 耐吉】NBA DRI-FIT 護腕套-藍(小牛),303
114,【NIKE 耐吉】NBA DRI-FIT 護腕套-黃,303
115,【NIKE 耐吉】NBA DRI-FIT 臂套-黃(勇士),539
116,【NIKE 耐吉】NIKE NBA DRI-FIT頭帶(NK),490
117,【NIKE 耐吉】NIKE NBA 腕帶/護腕套(NIKE),550
118,【NIKE 耐吉】帽T SB X NBA Hoodie 男款 聯名款 運動休閒 長袖上衣 保暖 灰 紅(938413-063),"1,949"
119,【NIKE 耐吉】帽子 Dry-Fit Arobill Clc99 波士頓賽爾提克 透氣吸汗 NBA 運動 白綠(AA6210-100),"1,099"
120,【NIKE 耐吉】連帽T恤 SB x NBA Icon 籃球 男款 NBA標誌 長袖 彈性羅紋袖口 街頭穿搭 粉白(938413-646),"1,949"
