商品編號,商品名稱,價格
61,【NBA】NIKE 勇士隊 女版 運動長褲 彈力材質 吸濕排汗 休閒長褲 彈力棉褲 運動褲 慢跑 籃球 健身(NBA長褲),"1,090"
62,【NBA】NIKE 勇士隊 女版 運動長褲 彈力材質 吸濕排汗 休閒長褲 彈力棉褲 運動褲 慢跑 籃球 健身(NBA長褲),"1,090"
63,【NBA】NIKE 芝加哥公牛 女款Modern Women’s Cape Chicago Bulls 休閒外套(NBA外套),"1,580"
64,【NBA】NIKE 火箭隊 Therma Flex 熱身連帽外套 運動外套 連帽外套 熱身外套 跑步外套 健身(NBA外套),"2,280"
65,【NBA】Youth Boys-NIKE 勇士隊 青年版 連帽上衣 帽T 連帽T 長袖帽T 跑步 健身 慢跑(NBA帽T),"1,090"
66,【NBA】NIKE 騎士隊 Hoodie Cleveland 連帽上衣 帽T 連帽T 長袖帽T 跑步 健身 慢跑(NBA帽T),"1,190"
67,【NBA】Youth Boys-NIKE  騎士隊 青年版 連帽上衣 帽T 連帽T 長袖帽T 跑步 健身 慢跑(NBA帽T),"1,090"
68,【NBA】NIKE 騎士隊 基本款 吸濕排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),590
69,【NBA】NIKE Leonard 馬刺隊 DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),690
70,【NBA】NIKE 勇士隊 DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),750
