商品編號,商品名稱,價格
41,【NBA】NIKE 湖人隊 DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑 雙11(NBA上衣),790
42,【NBA】NIKE 賽爾提克 IRVING DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),729
43,【NBA】NIKE 勇士隊 DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),590
44,【NBA】NIKE 湖人隊 DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 短T 健身 慢跑(NBA上衣),690
45,【NBA】NIKE 青年版 塞爾提克 Kyrie Irving 青少年球衣 厄文 青年球衣 運動背心 籃球球衣(NBA球衣),"1,190"
46,【NBA】NIKE 火箭隊 Just Do It  DRY 快速排汗 短袖上衣 短袖T恤 運動上衣 運動服 健身 慢跑(NBA上衣),750
47,【NBA】NIKE 青年版 賽爾提克 Dry Showtime Hoodie 休閒外套 熱身服 暖身服(Youth),"1,152"
48,【NBA】NIKE 青年版 馬刺隊 Dry Showtime Hoodie 休閒外套 熱身服 暖身服(Youth),"1,280"
49,【NIKE 耐吉】NBA 男 DRI？FIT SHOWTIME運動長褲 騎士隊(941785010),"1,375"
50,【NIKE 耐吉】SHOOTER SLEEVES NBA 運動 健身 籃球 臂套 NKS09 共五色,588
