query,exploreLink,rank,date
星宇航空,/trends/explore?q=%E6%98%9F%E5%AE%87%E8%88%AA%E7%A9%BA&date=today+1-m&geo=TW,19,2020-08-07
長榮大學,/trends/explore?q=%E9%95%B7%E6%A6%AE%E5%A4%A7%E5%AD%B8&date=today+1-m&geo=TW,20,2020-08-07
白家綺,/trends/explore?q=%E7%99%BD%E5%AE%B6%E7%B6%BA&date=now+7-d&geo=TW,1,2020-08-08
周興哲,/trends/explore?q=%E5%91%A8%E8%88%88%E5%93%B2&date=now+7-d&geo=TW,2,2020-08-08
一日女友,/trends/explore?q=%E4%B8%80%E6%97%A5%E5%A5%B3%E5%8F%8B&date=now+7-d&geo=TW,3,2020-08-08
CWT,/trends/explore?q=CWT&date=now+7-d&geo=TW,4,2020-08-08
桃園夜市券,/trends/explore?q=%E6%A1%83%E5%9C%92%E5%A4%9C%E5%B8%82%E5%88%B8&date=now+7-d&geo=TW,5,2020-08-08
T妹,/trends/explore?q=T%E5%A6%B9&date=now+7-d&geo=TW,6,2020-08-08
羅大佑,/trends/explore?q=%E7%BE%85%E5%A4%A7%E4%BD%91&date=now+7-d&geo=TW,7,2020-08-08
沒關係是精神病,/trends/explore?q=%E6%B2%92%E9%97%9C%E4%BF%82%E6%98%AF%E7%B2%BE%E7%A5%9E%E7%97%85&date=now+7-d&geo=TW,8,2020-08-08
海水沖馬桶,/trends/explore?q=%E6%B5%B7%E6%B0%B4%E6%B2%96%E9%A6%AC%E6%A1%B6&date=now+7-d&geo=TW,9,2020-08-08
夜市券,/trends/explore?q=%E5%A4%9C%E5%B8%82%E5%88%B8&date=now+7-d&geo=TW,10,2020-08-08
歐冠,/trends/explore?q=%E6%AD%90%E5%86%A0&date=now+7-d&geo=TW,11,2020-08-08
MotoGP,/trends/explore?q=MotoGP&date=now+7-d&geo=TW,12,2020-08-08
國家地理路跑,/trends/explore?q=%E5%9C%8B%E5%AE%B6%E5%9C%B0%E7%90%86%E8%B7%AF%E8%B7%91&date=now+7-d&geo=TW,13,2020-08-08
中原大學,/trends/explore?q=%E4%B8%AD%E5%8E%9F%E5%A4%A7%E5%AD%B8&date=now+7-d&geo=TW,14,2020-08-08
李準基,/trends/explore?q=%E6%9D%8E%E6%BA%96%E5%9F%BA&date=now+7-d&geo=TW,15,2020-08-08
正義聯盟,/trends/explore?q=%E6%AD%A3%E7%BE%A9%E8%81%AF%E7%9B%9F&date=now+7-d&geo=TW,16,2020-08-08
包偉銘,/trends/explore?q=%E5%8C%85%E5%81%89%E9%8A%98&date=now+7-d&geo=TW,17,2020-08-08
公車,/trends/explore?q=%E5%85%AC%E8%BB%8A&date=now+7-d&geo=TW,18,2020-08-08
代歐奇希斯,/trends/explore?q=%E4%BB%A3%E6%AD%90%E5%A5%87%E5%B8%8C%E6%96%AF&date=now+7-d&geo=TW,19,2020-08-08
盧彥澤,/trends/explore?q=%E7%9B%A7%E5%BD%A5%E6%BE%A4&date=now+7-d&geo=TW,20,2020-08-08
珉娥,/trends/explore?q=%E7%8F%89%E5%A8%A5&date=now+7-d&geo=TW,1,2020-08-09
森喜朗,/trends/explore?q=%E6%A3%AE%E5%96%9C%E6%9C%97&date=now+7-d&geo=TW,2,2020-08-09
美國衛生部長,/trends/explore?q=%E7%BE%8E%E5%9C%8B%E8%A1%9B%E7%94%9F%E9%83%A8%E9%95%B7&date=now+7-d&geo=TW,3,2020-08-09
彰化萬人檢測,/trends/explore?q=%E5%BD%B0%E5%8C%96%E8%90%AC%E4%BA%BA%E6%AA%A2%E6%B8%AC&date=now+7-d&geo=TW,4,2020-08-09
王百瑜,/trends/explore?q=%E7%8E%8B%E7%99%BE%E7%91%9C&date=now+7-d&geo=TW,5,2020-08-09
賈靜雯,/trends/explore?q=%E8%B3%88%E9%9D%9C%E9%9B%AF&date=now+7-d&geo=TW,6,2020-08-09
馬思純,/trends/explore?q=%E9%A6%AC%E6%80%9D%E7%B4%94&date=now+7-d&geo=TW,7,2020-08-09
偽出國,/trends/explore?q=%E5%81%BD%E5%87%BA%E5%9C%8B&date=now+7-d&geo=TW,8,2020-08-09
梁正群,/trends/explore?q=%E6%A2%81%E6%AD%A3%E7%BE%A4&date=now+7-d&geo=TW,9,2020-08-09
世紀鋼,/trends/explore?q=%E4%B8%96%E7%B4%80%E9%8B%BC&date=now+7-d&geo=TW,10,2020-08-09
CBA,/trends/explore?q=CBA&date=now+7-d&geo=TW,11,2020-08-09
蚯蚓坑,/trends/explore?q=%E8%9A%AF%E8%9A%93%E5%9D%91&date=now+7-d&geo=TW,12,2020-08-09
颱風,/trends/explore?q=%E9%A2%B1%E9%A2%A8&date=now+7-d&geo=TW,1,2020-08-10
美廉社,/trends/explore?q=%E7%BE%8E%E5%BB%89%E7%A4%BE&date=now+7-d&geo=TW,2,2020-08-10
周庭,/trends/explore?q=%E5%91%A8%E5%BA%AD&date=now+7-d&geo=TW,3,2020-08-10
Presidency,/trends/explore?q=Presidency&date=now+7-d&geo=TW,4,2020-08-10
黎智英,/trends/explore?q=%E9%BB%8E%E6%99%BA%E8%8B%B1&date=now+7-d&geo=TW,5,2020-08-10
康友,/trends/explore?q=%E5%BA%B7%E5%8F%8B&date=now+7-d&geo=TW,6,2020-08-10
南六醫用口罩,/trends/explore?q=%E5%8D%97%E5%85%AD%E9%86%AB%E7%94%A8%E5%8F%A3%E7%BD%A9&date=now+7-d&geo=TW,7,2020-08-10
麥當勞小小兵,/trends/explore?q=%E9%BA%A5%E7%95%B6%E5%8B%9E%E5%B0%8F%E5%B0%8F%E5%85%B5&date=now+7-d&geo=TW,8,2020-08-10
地震,/trends/explore?q=%E5%9C%B0%E9%9C%87&date=now+7-d&geo=TW,9,2020-08-10
于楓,/trends/explore?q=%E4%BA%8E%E6%A5%93&date=now+7-d&geo=TW,10,2020-08-10
杏輝,/trends/explore?q=%E6%9D%8F%E8%BC%9D&date=now+7-d&geo=TW,11,2020-08-10
美聯社口罩,/trends/explore?q=%E7%BE%8E%E8%81%AF%E7%A4%BE%E5%8F%A3%E7%BD%A9&date=now+7-d&geo=TW,12,2020-08-10
王大陸,/trends/explore?q=%E7%8E%8B%E5%A4%A7%E9%99%B8&date=now+7-d&geo=TW,13,2020-08-10
以家人之名,/trends/explore?q=%E4%BB%A5%E5%AE%B6%E4%BA%BA%E4%B9%8B%E5%90%8D&date=now+7-d&geo=TW,14,2020-08-10
乙武洋匡,/trends/explore?q=%E4%B9%99%E6%AD%A6%E6%B4%8B%E5%8C%A1&date=now+7-d&geo=TW,15,2020-08-10
楊志良,/trends/explore?q=%E6%A5%8A%E5%BF%97%E8%89%AF&date=now+7-d&geo=TW,16,2020-08-10
阿札爾,/trends/explore?q=%E9%98%BF%E6%9C%AD%E7%88%BE&date=now+7-d&geo=TW,17,2020-08-10
南六口罩,/trends/explore?q=%E5%8D%97%E5%85%AD%E5%8F%A3%E7%BD%A9&date=now+7-d&geo=TW,18,2020-08-10
桑妮,/trends/explore?q=%E6%A1%91%E5%A6%AE&date=now+7-d&geo=TW,19,2020-08-10
魏如萱,/trends/explore?q=%E9%AD%8F%E5%A6%82%E8%90%B1&date=now+7-d&geo=TW,20,2020-08-10
颱風,/trends/explore?q=%E9%A2%B1%E9%A2%A8&date=now+7-d&geo=TW,1,2020-08-11
流星雨,/trends/explore?q=%E6%B5%81%E6%98%9F%E9%9B%A8&date=now+7-d&geo=TW,2,2020-08-11
颱風假,/trends/explore?q=%E9%A2%B1%E9%A2%A8%E5%81%87&date=now+7-d&geo=TW,3,2020-08-11
必比登,/trends/explore?q=%E5%BF%85%E6%AF%94%E7%99%BB&date=now+7-d&geo=TW,4,2020-08-11
屁蛋妹,/trends/explore?q=%E5%B1%81%E8%9B%8B%E5%A6%B9&date=now+7-d&geo=TW,5,2020-08-11
台新金,/trends/explore?q=%E5%8F%B0%E6%96%B0%E9%87%91&date=now+7-d&geo=TW,6,2020-08-11
源芳刈包,/trends/explore?q=%E6%BA%90%E8%8A%B3%E5%88%88%E5%8C%85&date=now+7-d&geo=TW,7,2020-08-11
欣興,/trends/explore?q=%E6%AC%A3%E8%88%88&date=now+7-d&geo=TW,8,2020-08-11
美聯社口罩預購,/trends/explore?q=%E7%BE%8E%E8%81%AF%E7%A4%BE%E5%8F%A3%E7%BD%A9%E9%A0%90%E8%B3%BC&date=now+7-d&geo=TW,9,2020-08-11
龍貓鼠,/trends/explore?q=%E9%BE%8D%E8%B2%93%E9%BC%A0&date=now+7-d&geo=TW,10,2020-08-11
無花果颱風,/trends/explore?q=%E7%84%A1%E8%8A%B1%E6%9E%9C%E9%A2%B1%E9%A2%A8&date=now+7-d&geo=TW,11,2020-08-11
Gubami,/trends/explore?q=Gubami&date=now+7-d&geo=TW,12,2020-08-11
馬英九,/trends/explore?q=%E9%A6%AC%E8%8B%B1%E4%B9%9D&date=now+7-d&geo=TW,13,2020-08-11
米其林,/trends/explore?q=%E7%B1%B3%E5%85%B6%E6%9E%97&date=now+7-d&geo=TW,14,2020-08-11
歐陽靖,/trends/explore?q=%E6%AD%90%E9%99%BD%E9%9D%96&date=now+7-d&geo=TW,15,2020-08-11
美吾華,/trends/explore?q=%E7%BE%8E%E5%90%BE%E8%8F%AF&date=now+7-d&geo=TW,16,2020-08-11
壹傳媒股價,/trends/explore?q=%E5%A3%B9%E5%82%B3%E5%AA%92%E8%82%A1%E5%83%B9&date=now+7-d&geo=TW,17,2020-08-11
國泰金,/trends/explore?q=%E5%9C%8B%E6%B3%B0%E9%87%91&date=now+7-d&geo=TW,18,2020-08-11
陳鈺琪,/trends/explore?q=%E9%99%B3%E9%88%BA%E7%90%AA&date=now+7-d&geo=TW,19,2020-08-11
陳文茜,/trends/explore?q=%E9%99%B3%E6%96%87%E8%8C%9C&date=now+7-d&geo=TW,20,2020-08-11
藝FUN券,/trends/explore?q=%E8%97%9DFUN%E5%88%B8&date=now+7-d&geo=TW,1,2020-08-12
吳怡農,/trends/explore?q=%E5%90%B3%E6%80%A1%E8%BE%B2&date=now+7-d&geo=TW,2,2020-08-12
麥當勞小小兵,/trends/explore?q=%E9%BA%A5%E7%95%B6%E5%8B%9E%E5%B0%8F%E5%B0%8F%E5%85%B5&date=now+7-d&geo=TW,3,2020-08-12
美廉社口罩,/trends/explore?q=%E7%BE%8E%E5%BB%89%E7%A4%BE%E5%8F%A3%E7%BD%A9&date=now+7-d&geo=TW,4,2020-08-12
諾羅病毒,/trends/explore?q=%E8%AB%BE%E7%BE%85%E7%97%85%E6%AF%92&date=now+7-d&geo=TW,5,2020-08-12
賀錦麗,/trends/explore?q=%E8%B3%80%E9%8C%A6%E9%BA%97&date=now+7-d&geo=TW,6,2020-08-12
黃金,/trends/explore?q=%E9%BB%83%E9%87%91&date=now+7-d&geo=TW,7,2020-08-12
李華月,/trends/explore?q=%E6%9D%8E%E8%8F%AF%E6%9C%88&date=now+7-d&geo=TW,8,2020-08-12
疫苗,/trends/explore?q=%E7%96%AB%E8%8B%97&date=now+7-d&geo=TW,9,2020-08-12
羅霈穎死因,/trends/explore?q=%E7%BE%85%E9%9C%88%E7%A9%8E%E6%AD%BB%E5%9B%A0&date=now+7-d&geo=TW,10,2020-08-12
康然中醫,/trends/explore?q=%E5%BA%B7%E7%84%B6%E4%B8%AD%E9%86%AB&date=now+7-d&geo=TW,11,2020-08-12
陳清景,/trends/explore?q=%E9%99%B3%E6%B8%85%E6%99%AF&date=now+7-d&geo=TW,12,2020-08-12
林佳龍,/trends/explore?q=%E6%9E%97%E4%BD%B3%E9%BE%8D&date=now+7-d&geo=TW,13,2020-08-12
關聖帝君,/trends/explore?q=%E9%97%9C%E8%81%96%E5%B8%9D%E5%90%9B&date=now+7-d&geo=TW,14,2020-08-12
纖維肌痛症,/trends/explore?q=%E7%BA%96%E7%B6%AD%E8%82%8C%E7%97%9B%E7%97%87&date=now+7-d&geo=TW,15,2020-08-12
硃砂,/trends/explore?q=%E7%A1%83%E7%A0%82&date=now+7-d&geo=TW,16,2020-08-12
金像電,/trends/explore?q=%E9%87%91%E5%83%8F%E9%9B%BB&date=now+7-d&geo=TW,17,2020-08-12
吳佩慈,/trends/explore?q=%E5%90%B3%E4%BD%A9%E6%85%88&date=now+7-d&geo=TW,18,2020-08-12
全家三眼怪,/trends/explore?q=%E5%85%A8%E5%AE%B6%E4%B8%89%E7%9C%BC%E6%80%AA&date=now+7-d&geo=TW,19,2020-08-12
山月吊橋,/trends/explore?q=%E5%B1%B1%E6%9C%88%E5%90%8A%E6%A9%8B&date=now+7-d&geo=TW,20,2020-08-12
赫特河公國,/trends/explore?q=%E8%B5%AB%E7%89%B9%E6%B2%B3%E5%85%AC%E5%9C%8B&date=now+7-d&geo=TW,1,2020-08-13
和碩,/trends/explore?q=%E5%92%8C%E7%A2%A9&date=now+7-d&geo=TW,2,2020-08-13
碳佐麻里,/trends/explore?q=%E7%A2%B3%E4%BD%90%E9%BA%BB%E9%87%8C&date=now+7-d&geo=TW,3,2020-08-13
美聯社口罩預購,/trends/explore?q=%E7%BE%8E%E8%81%AF%E7%A4%BE%E5%8F%A3%E7%BD%A9%E9%A0%90%E8%B3%BC&date=now+7-d&geo=TW,4,2020-08-13
安心旅遊,/trends/explore?q=%E5%AE%89%E5%BF%83%E6%97%85%E9%81%8A&date=now+7-d&geo=TW,5,2020-08-13
杜永光,/trends/explore?q=%E6%9D%9C%E6%B0%B8%E5%85%89&date=now+7-d&geo=TW,6,2020-08-13
屈臣氏口罩,/trends/explore?q=%E5%B1%88%E8%87%A3%E6%B0%8F%E5%8F%A3%E7%BD%A9&date=now+7-d&geo=TW,7,2020-08-13
Epic,/trends/explore?q=Epic&date=now+7-d&geo=TW,8,2020-08-13
萊爾富口罩,/trends/explore?q=%E8%90%8A%E7%88%BE%E5%AF%8C%E5%8F%A3%E7%BD%A9&date=now+7-d&geo=TW,9,2020-08-13
米可白,/trends/explore?q=%E7%B1%B3%E5%8F%AF%E7%99%BD&date=now+7-d&geo=TW,10,2020-08-13
兆豐金,/trends/explore?q=%E5%85%86%E8%B1%90%E9%87%91&date=now+7-d&geo=TW,11,2020-08-13
張奕,/trends/explore?q=%E5%BC%B5%E5%A5%95&date=now+7-d&geo=TW,12,2020-08-13
晉泰,/trends/explore?q=%E6%99%89%E6%B3%B0&date=now+7-d&geo=TW,13,2020-08-13
生吐司,/trends/explore?q=%E7%94%9F%E5%90%90%E5%8F%B8&date=now+7-d&geo=TW,14,2020-08-13
Shroud,/trends/explore?q=Shroud&date=now+7-d&geo=TW,15,2020-08-13
李威,/trends/explore?q=%E6%9D%8E%E5%A8%81&date=now+7-d&geo=TW,16,2020-08-13
藝Fun,/trends/explore?q=%E8%97%9DFun&date=now+7-d&geo=TW,17,2020-08-13
MSCI,/trends/explore?q=MSCI&date=now+7-d&geo=TW,18,2020-08-13
Zara香水,/trends/explore?q=Zara%E9%A6%99%E6%B0%B4&date=now+7-d&geo=TW,19,2020-08-13
國際左撇子日,/trends/explore?q=%E5%9C%8B%E9%9A%9B%E5%B7%A6%E6%92%87%E5%AD%90%E6%97%A5&date=now+7-d&geo=TW,20,2020-08-13
鄭惠中,/trends/explore?q=%E9%84%AD%E6%83%A0%E4%B8%AD&date=now+7-d&geo=TW,1,2020-08-14
李眉蓁,/trends/explore?q=%E6%9D%8E%E7%9C%89%E8%93%81&date=now+7-d&geo=TW,2,2020-08-14
情人節,/trends/explore?q=%E6%83%85%E4%BA%BA%E7%AF%80&date=now+7-d&geo=TW,3,2020-08-14
鵝蛋,/trends/explore?q=%E9%B5%9D%E8%9B%8B&date=now+7-d&geo=TW,4,2020-08-14
多益,/trends/explore?q=%E5%A4%9A%E7%9B%8A&date=now+7-d&geo=TW,5,2020-08-14
林志玲,/trends/explore?q=%E6%9E%97%E5%BF%97%E7%8E%B2&date=now+7-d&geo=TW,6,2020-08-14
白俄羅斯,/trends/explore?q=%E7%99%BD%E4%BF%84%E7%BE%85%E6%96%AF&date=now+7-d&geo=TW,7,2020-08-14
渡哲也,/trends/explore?q=%E6%B8%A1%E5%93%B2%E4%B9%9F&date=now+7-d&geo=TW,8,2020-08-14
夜市券,/trends/explore?q=%E5%A4%9C%E5%B8%82%E5%88%B8&date=now+7-d&geo=TW,9,2020-08-14
何志偉,/trends/explore?q=%E4%BD%95%E5%BF%97%E5%81%89&date=now+7-d&geo=TW,10,2020-08-14
林子偉,/trends/explore?q=%E6%9E%97%E5%AD%90%E5%81%89&date=now+7-d&geo=TW,11,2020-08-14
李坤儀,/trends/explore?q=%E6%9D%8E%E5%9D%A4%E5%84%80&date=now+7-d&geo=TW,12,2020-08-14
濟南教會,/trends/explore?q=%E6%BF%9F%E5%8D%97%E6%95%99%E6%9C%83&date=now+7-d&geo=TW,13,2020-08-14
ROG Zephyrus Duo 15,/trends/explore?q=ROG+Zephyrus+Duo+15&date=now+7-d&geo=TW,14,2020-08-14
廣達,/trends/explore?q=%E5%BB%A3%E9%81%94&date=now+7-d&geo=TW,15,2020-08-14
長榮,/trends/explore?q=%E9%95%B7%E6%A6%AE&date=now+7-d&geo=TW,16,2020-08-14
綠色情人節,/trends/explore?q=%E7%B6%A0%E8%89%B2%E6%83%85%E4%BA%BA%E7%AF%80&date=now+7-d&geo=TW,17,2020-08-14
軍演,/trends/explore?q=%E8%BB%8D%E6%BC%94&date=now+7-d&geo=TW,18,2020-08-14
拓荒者,/trends/explore?q=%E6%8B%93%E8%8D%92%E8%80%85&date=now+7-d&geo=TW,19,2020-08-14
8/14,/trends/explore?q=8/14&date=now+7-d&geo=TW,20,2020-08-14
中國新說唱2020,/trends/explore?q=%E4%B8%AD%E5%9C%8B%E6%96%B0%E8%AA%AA%E5%94%B12020&date=now+7-d&geo=TW,1,2020-08-15
吳益政,/trends/explore?q=%E5%90%B3%E7%9B%8A%E6%94%BF&date=now+7-d&geo=TW,2,2020-08-15
安娜,/trends/explore?q=%E5%AE%89%E5%A8%9C&date=now+7-d&geo=TW,3,2020-08-15
將軍吼,/trends/explore?q=%E5%B0%87%E8%BB%8D%E5%90%BC&date=now+7-d&geo=TW,4,2020-08-15
高雄投票,/trends/explore?q=%E9%AB%98%E9%9B%84%E6%8A%95%E7%A5%A8&date=now+7-d&geo=TW,5,2020-08-15
馬來西亞,/trends/explore?q=%E9%A6%AC%E4%BE%86%E8%A5%BF%E4%BA%9E&date=now+7-d&geo=TW,6,2020-08-15
高國慶,/trends/explore?q=%E9%AB%98%E5%9C%8B%E6%85%B6&date=now+7-d&geo=TW,7,2020-08-15
漁人碼頭煙火,/trends/explore?q=%E6%BC%81%E4%BA%BA%E7%A2%BC%E9%A0%AD%E7%85%99%E7%81%AB&date=now+7-d&geo=TW,8,2020-08-15
F-16,/trends/explore?q=F-16&date=now+7-d&geo=TW,9,2020-08-15
